State,Area_Key,Tenure,Primary_Type,Median_PSF,Transactions,Median_Price
Selangor,SELANGOR | RAWANG,Freehold,Semi D,313.0,79,420000.0
Johor,JOHOR | JOHOR BAHRU,Freehold,Service Residence,1270.0,79,1386800.0
Pahang,PAHANG | KUANTAN,Leasehold,Terrace House,232.0,78,325000.0
Negeri Sembilan,NEGERI SEMBILAN | LABU,Freehold,Terrace House,267.0,78,380000.0
Johor,JOHOR | KULAI,Freehold,Terrace House,292.0,78,450000.0
Johor,JOHOR | JOHOR BAHRU,Freehold,Semi D,327.0,78,609000.0
Johor,JOHOR | JOHOR BAHRU,Mixed,Terrace House,279.0,78,500000.0
Selangor,SELANGOR | TANJONG DUABELAS,Leasehold,Terrace House,339.0,78,450000.0
Selangor,SELANGOR | SERI KEMBANGAN,Leasehold,Terrace House,400.0,78,580000.0
Negeri Sembilan,NEGERI SEMBILAN | RANTAU,Freehold,Terrace House,368.0,77,522000.0
Kedah,KEDAH | GURUN,Freehold,Terrace House,141.0,76,232000.0
Johor,JOHOR | MASAI,Freehold,Semi D,320.0,76,436440.0
Selangor,SELANGOR | SERENDAH,Freehold,Terrace House,357.0,75,437100.0
Selangor,SELANGOR | DENGKIL,Freehold,Terrace House,532.0,75,828888.0
Selangor,SELANGOR | SUBANG JAYA,Freehold,Terrace House,448.0,75,855000.0
Kedah,KEDAH | SUNGAI PETANI,Freehold,Terrace House,230.0,74,276800.0
Selangor,SELANGOR | SHAH ALAM,Freehold,Terrace House,417.0,74,844000.0
Selangor,SELANGOR | KLANG,Freehold,Terrace House,434.0,74,682500.0
Selangor,SELANGOR | PUCHONG,Freehold,Terrace House,513.0,74,725000.0
Johor,JOHOR | JOHOR BAHRU,Freehold,Semi D,535.0,74,1110900.0
Johor,JOHOR | JOHOR BAHRU,Freehold,Terrace House,338.0,73,440000.0
Johor,JOHOR | ISKANDAR PUTERI (NUSAJAYA),Freehold,Terrace House,389.0,73,650000.0
Johor,JOHOR | ULU TIRAM,Freehold,Semi D,308.0,73,600000.0
Kedah,KEDAH | PADANG SERAI,Freehold,Terrace House,159.0,72,204000.0
Negeri Sembilan,NEGERI SEMBILAN | PASIR PANJANG,Freehold,Terrace House,192.0,72,279000.0
Selangor,SELANGOR | KAJANG,Leasehold,Service Residence,503.0,72,299000.0
Kedah,KEDAH | LUNAS,Freehold,Semi D,227.0,71,516888.0
